,tweets,id,date,sentiment
0,"RT @DaBrat1_: Im depressed. Im tired of waking up every morning. Yea, I know that I got people that love and care about me, but yet im stil…",1305015217689112576,2020-09-13 05:27:28,Negative
1,RT @lowkeyalbert: it’s sad how our parents think they know us but they really don’t,1305015216141250561,2020-09-13 05:27:28,Negative
2,"@marcusjcarey I’m not okay with seeing this day after day. The truth is it’s nothing new, we’ve just become more aw… https://t.co/rq1iKB3yk1",1305015215768002561,2020-09-13 05:27:28,Positive
3,being happy and sad at the same time is hard and it’s heavy 😔,1305015214635507717,2020-09-13 05:27:27,Negative
4,"aone deserved his own special chapter, m sad, my baby",1305015213641674753,2020-09-13 05:27:27,Negative
5,@fckmycw I’m just so sad for no reason I feel so stupid,1305015213184421888,2020-09-13 05:27:27,Negative
6,@ophiotcurus sad as in it's sad that he did the women gods badly not as in sad that I want him to shdhdnndmdm,1305015212672782339,2020-09-13 05:27:27,Negative
7,"RT @JustForBigBro: These hms have their happy, sad, fun, boring, crazy moments, ups &amp; downs but it’s mostly good vibes yet the wicked ones…",1305015212521795584,2020-09-13 05:27:27,Negative
8,RT @offwhitexa: uzi got the best music vault in the game and just don’t drop😔🔥 https://t.co/SNHdY59xXy,1305015212517593089,2020-09-13 05:27:27,Positive
9,RT @brownieboy_18: 🐱felix as kittens a very necessary thread if you are sad🐱 https://t.co/v3dV80wiLz,1305015211997507584,2020-09-13 05:27:27,Positive
10,Incredibly sad 😢 https://t.co/aqNBSj0HOx,1305015210411880448,2020-09-13 05:27:26,Negative
11,@saularm653 Beyond sad using fear tactics. That’s why his base is always angry. How about this one? https://t.co/Wr5Q9qdpJJ,1305015210403606536,2020-09-13 05:27:26,Negative
12,Ah real lonely hours is upon us,1305015210248372224,2020-09-13 05:27:26,Negative
13,Someone come in discord im lonely 🥺,1305015210223300610,2020-09-13 05:27:26,Negative
14,Im so sad but I have so much still so I’m just gonna d word,1305015210080493568,2020-09-13 05:27:26,Negative
15,"RT @PattyArquette: I’m feeling depressed today. Sad for the world, the fires, the kids deported or missing, the DeJoy sending out misinform…",1305015208625274880,2020-09-13 05:27:26,Negative
16,RT @blxcknicotine: “Don’t be sad for too long”,1305015208096575489,2020-09-13 05:27:26,Negative
17,"@CassandraRules With you on that. Maybe they'd get a clue and stop trying to oppress the rest of us?

p.s. kinda sa… https://t.co/iI0gNJapek",1305015206775529472,2020-09-13 05:27:25,Negative
18,RT @23jpeg: Bangkok is a lonely city — https://t.co/A5uh3Yh6Gy,1305015205626175488,2020-09-13 05:27:25,Negative
19,"@PevenEverett Some sad news just in 
Please click on the below provide:
https://t.co/2obmMo0cKj",1305015205559238656,2020-09-13 05:27:25,Negative
20,@Soulbitch11212 Well that’s...sad...,1305015204497879042,2020-09-13 05:27:25,Negative
21,RT @joseimukeboy: This image brings me rage https://t.co/AXbmzNO0U6,1305015204363857922,2020-09-13 05:27:25,Positive
22,@melcdyfaeri i just try stick to giveaways then end up losing those too my page is really sad to look at skcjksd,1305015202950402056,2020-09-13 05:27:25,Negative
23,I’m so sad rn I can’t find any streaming services that have all the Harry Potter movies I wanna BINGE. https://t.co/7MjkWVLitu,1305015202103005185,2020-09-13 05:27:24,Negative
24,RT @yooksolo: i miss them so much i'm so sad https://t.co/AUPaWTXmRq,1305015201654210562,2020-09-13 05:27:24,Negative
25,sad i dont think i’ll be able to get the merch membership like i wanted :((( hate it here,1305015197774487552,2020-09-13 05:27:23,Negative
26,RT @TJakeyy14: It’s the level of blind rage I would go into if someone ever touched my child,1305015196910366721,2020-09-13 05:27:23,Negative
27,"RT @DaBrat1_: Im depressed. Im tired of waking up every morning. Yea, I know that I got people that love and care about me, but yet im stil…",1305015194616320003,2020-09-13 05:27:23,Negative
28,RT @scysolo: I AM SO SAD https://t.co/T5xf5m4ptk,1305015193710206978,2020-09-13 05:27:22,Negative
29,"RT @clem_chowder: Hey, CA provides &gt;60% of the nation's fruits &amp; nuts and &gt;30% of its veggies 🍊🍅🍇🍓🥑

We need our farmworkers, and they need…",1305015191344689152,2020-09-13 05:27:22,Positive
30,RT @ksorbs: Biden has 3 people show up for him.  Sad.,1305015190451298304,2020-09-13 05:27:22,Negative
31,"Come join in on the mind-numbing sarcasm, fits of nerd rage and loud noises. https://t.co/hxK3xpb6IF",1305015190434590720,2020-09-13 05:27:22,Positive
32,@mehdirhasan @DavidCayJ The evangelists candidate! lol! sad.,1305015189822033921,2020-09-13 05:27:21,Negative
33,"RT @RoyalMobISH: Single don’t mean lonely, the same way relationship don’t mean happy.",1305015189608243200,2020-09-13 05:27:21,Positive
34,"RT @YouLoveTroy: IDC HOW SAD OR HEART BROKEN I AM, I WILL NOT POST MYSELF CRYING 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",1305015189302136833,2020-09-13 05:27:21,Negative
35,"RT @DaBrat1_: Im depressed. Im tired of waking up every morning. Yea, I know that I got people that love and care about me, but yet im stil…",1305015188693770240,2020-09-13 05:27:21,Negative
36,"RT @moneldonuts: ‍‍ ‍‍ ‍‍‍ ‍‍‍ ‍‍ ‍‍ ‍‍‍ ‍‍‍ ‍‍ ‍‍ 𝚆𝙴𝙻𝙲𝙾𝙼𝙴 𝚃𝙾 𝙼𝚈 𝚂𝙷𝙸𝚃 

   Hey Jude, don't make it bad take 
   a sad song and make it bett…",1305015188157014016,2020-09-13 05:27:21,Negative
37,"RT @sosyolohija: #JusticeForFabelPineda 

Today, the Acts of Lasciviousness case filed by Fabel against her rapist, policeman Marawi Torda,…",1305015187909402626,2020-09-13 05:27:21,Negative
38,RT @lowkeyalbert: it’s sad how our parents think they know us but they really don’t,1305015187372568576,2020-09-13 05:27:21,Negative
39,Listening to CTRL to make myself sad,1305015186621775874,2020-09-13 05:27:21,Negative
40,Not me being lonely yet only texting two ppl back and all 160 others get left on delivered :/,1305015185393029122,2020-09-13 05:27:20,Negative
41,"#carxdriftracing2

https://t.co/zx5ayQXN5H join the discord",1305015185162207232,2020-09-13 05:27:20,Positive
42,@mingenrr then why u sad bdks,1305015184939913218,2020-09-13 05:27:20,Negative
43,@shannonpurser Katharine Hepburn in The Lion in Winter - she’s brutal and cutting and hilarious and channels so muc… https://t.co/9eHjycmuUU,1305015184667242496,2020-09-13 05:27:20,Negative
44,RT @realpreityzinta: Goons in Mumbai beat a 62 year old retd 🇮🇳 Indian Navy Veteran black &amp; blue cuz he forwarded a political cartoon on wh…,1305015183132295168,2020-09-13 05:27:20,Positive
45,RT @SerpentAU: staying up late not even fun anymore it's just sad,1305015182888845312,2020-09-13 05:27:20,Negative
46,"RT @blindingrep: this is so sad, leave rita alone omg
 https://t.co/cTUnuCp6pj",1305015182444376065,2020-09-13 05:27:20,Negative
